id_venta,id_cliente,producto,categoria,unidades,precio_unitario,ciudad,fecha
73,418,Refresco,Bebida,5,5.39,Valencia,2026-05-09
74,104,Cafe,Bebida,3,6.87,Valencia,2026-01-23
75,466,Patatas,Comida,2,6.04,Sevilla,2026-01-22
76,60,Hamburguesa,Comida,2,6.02,Madrid,2026-04-07
77,468,Ensalada,Comida,4,3.19,Valencia,2026-04-03
78,221,Patatas,Comida,5,10.46,Valencia,2026-01-02
79,8,Ensalada,Comida,5,9.49,Valencia,2026-01-02
80,478,Hamburguesa,Comida,2,4.56,Bilbao,2026-01-25
81,134,Agua,Bebida,4,6.65,Valencia,2026-04-07
82,26,Refresco,Bebida,2,14.23,Sevilla,2026-03-06
83,332,Cafe,Bebida,2,12.59,Madrid,2026-03-10
84,36,Ensalada,Comida,2,6.81,Madrid,2026-04-17
85,307,Ensalada,Comida,1,4.67,Sevilla,2026-05-22
86,102,Pizza,Comida,6,3.21,Madrid,2026-02-04
87,464,Ensalada,Comida,3,14.02,Madrid,2026-02-23
88,324,Ensalada,Comida,4,8.95,Valencia,2026-03-05
89,269,Refresco,Bebida,5,9.28,Madrid,2026-01-12
90,295,Ensalada,Comida,2,9.84,Bilbao,2026-05-22
91,125,Hamburguesa,Comida,5,5.91,Madrid,2026-02-16
92,145,Ensalada,Comida,3,9.66,Madrid,2026-01-27
93,496,Ensalada,Comida,3,2.97,Madrid,2026-03-08
94,332,Cafe,Bebida,6,7.53,Sevilla,2026-04-08
95,379,Hamburguesa,Comida,4,3.42,Valencia,2026-05-25
96,460,Pizza,Comida,6,6.31,Sevilla,2026-01-28
97,378,Agua,Bebida,4,4.02,Valencia,2026-06-30
98,110,Agua,Bebida,4,9.18,Madrid,2026-03-01
99,479,Ensalada,Comida,5,12.56,Bilbao,2026-01-26
100,284,Hamburguesa,Comida,6,4.98,Sevilla,2026-06-10
101,437,Cafe,Bebida,4,11.96,Sevilla,2026-04-03
102,148,Refresco,Bebida,5,10.9,Bilbao,2026-01-24
103,309,Cafe,Bebida,4,13.82,Madrid,2026-01-28
104,15,Hamburguesa,Comida,5,13.41,Sevilla,2026-01-02
105,351,Agua,Bebida,1,3.48,Valencia,2026-03-10
106,314,Ensalada,Comida,3,10.05,Valencia,2026-06-08
107,388,Patatas,Comida,3,9.73,Sevilla,2026-02-27
108,29,Ensalada,Comida,1,4.99,Valencia,2026-01-14
109,412,Refresco,Bebida,3,14.26,Bilbao,2026-06-01
110,432,Agua,Bebida,5,13.5,Valencia,2026-01-22
111,10,Pizza,Comida,1,14.34,Sevilla,2026-06-29
112,108,Ensalada,Comida,6,12.42,Madrid,2026-04-27
113,419,Patatas,Comida,6,10.58,Madrid,2026-03-16
114,367,Refresco,Bebida,5,3.38,Sevilla,2026-04-13
115,58,Cafe,Bebida,5,10.16,Valencia,2026-04-13
116,55,Agua,Bebida,4,6.58,Valencia,2026-02-09
117,282,Pizza,Comida,1,9.26,Bilbao,2026-01-17
118,130,Refresco,Bebida,6,14.45,Sevilla,2026-05-30
119,436,Pizza,Comida,6,10.32,Bilbao,2026-04-17
120,495,Agua,Bebida,1,8.29,Valencia,2026-06-15
121,101,Refresco,Bebida,5,3.33,Madrid,2026-02-22
122,29,Hamburguesa,Comida,2,2.35,Valencia,2026-01-30
123,161,Hamburguesa,Comida,1,2.12,Bilbao,2026-04-22
124,42,Pizza,Comida,2,7.12,Sevilla,2026-01-17
125,218,Hamburguesa,Comida,5,5.42,Valencia,2026-05-29
126,262,Agua,Bebida,5,13.13,Bilbao,2026-02-26
127,398,Pizza,Comida,2,9.27,Madrid,2026-01-20
128,10,Hamburguesa,Comida,5,5.63,Bilbao,2026-05-20
129,168,Hamburguesa,Comida,6,3.64,Sevilla,2026-05-21
130,48,Ensalada,Comida,4,9.76,Valencia,2026-02-05
131,155,Refresco,Bebida,1,7.48,Bilbao,2026-06-11
132,406,Ensalada,Comida,5,11.64,Valencia,2026-05-13
133,265,Refresco,Bebida,5,13.94,Madrid,2026-01-28
134,493,Pizza,Comida,4,2.8,Sevilla,2026-02-08
135,400,Agua,Bebida,6,1.69,Madrid,2026-02-14
136,277,Refresco,Bebida,3,8.77,Madrid,2026-01-09
137,102,Pizza,Comida,2,10.05,Valencia,2026-02-26
138,400,Patatas,Comida,3,2.59,Sevilla,2026-04-17
139,234,Agua,Bebida,6,11.98,Sevilla,2026-06-09
140,357,Cafe,Bebida,4,1.21,Valencia,2026-05-01
141,297,Hamburguesa,Comida,6,2.18,Sevilla,2026-04-23
142,291,Cafe,Bebida,1,9.47,Bilbao,2026-04-10
143,448,Pizza,Comida,1,8.49,Valencia,2026-06-23
144,396,Cafe,Bebida,5,5.42,Sevilla,2026-06-20
145,201,Refresco,Bebida,6,13.16,Sevilla,2026-06-06
146,133,Patatas,Comida,5,8.2,Madrid,2026-06-11
147,403,Refresco,Bebida,4,7.6,Sevilla,2026-01-14
148,230,Agua,Bebida,6,8.12,Valencia,2026-03-12
149,40,Pizza,Comida,3,1.9,Madrid,2026-02-11
150,104,Pizza,Comida,4,5.09,Bilbao,2026-04-20
151,383,Cafe,Bebida,3,6.53,Sevilla,2026-05-02
152,326,Patatas,Comida,2,12.03,Valencia,2026-05-23
153,16,Patatas,Comida,4,1.1,Bilbao,2026-03-15
154,171,Ensalada,Comida,5,8.01,Sevilla,2026-04-20
155,326,Hamburguesa,Comida,4,6.66,Valencia,2026-03-02
156,215,Hamburguesa,Comida,1,11.84,Madrid,2026-06-06
157,42,Refresco,Bebida,1,1.44,Valencia,2026-01-09
158,494,Ensalada,Comida,3,10.99,Valencia,2026-02-16
159,268,Ensalada,Comida,4,12.01,Madrid,2026-03-28
160,418,Agua,Bebida,1,1.85,Valencia,2026-05-19
161,183,Ensalada,Comida,5,13.23,Madrid,2026-05-07
162,158,Patatas,Comida,6,10.23,Sevilla,2026-04-22
163,143,Patatas,Comida,5,9.89,Madrid,2026-06-11
164,349,Refresco,Bebida,2,9.57,Sevilla,2026-05-18
165,236,Hamburguesa,Comida,2,13.47,Bilbao,2026-05-22
166,416,Agua,Bebida,4,7.18,Valencia,2026-04-09
167,415,Pizza,Comida,6,7.85,Valencia,2026-01-20
168,355,Cafe,Bebida,2,7.59,Sevilla,2026-02-07
169,385,Refresco,Bebida,2,2.71,Sevilla,2026-06-03
170,129,Agua,Bebida,5,11.83,Sevilla,2026-01-07
171,432,Patatas,Comida,4,7.65,Madrid,2026-02-22
172,324,Pizza,Comida,3,9.27,Sevilla,2026-05-06
173,79,Agua,Bebida,2,13.51,Bilbao,2026-01-17
174,131,Ensalada,Comida,1,8.08,Sevilla,2026-01-13
175,392,Patatas,Comida,5,3.56,Sevilla,2026-01-23
176,85,Cafe,Bebida,4,8.42,Valencia,2026-06-11
177,180,Patatas,Comida,6,5.64,Madrid,2026-04-22
178,159,Hamburguesa,Comida,1,10.21,Sevilla,2026-04-06
179,412,Ensalada,Comida,6,2.44,Valencia,2026-03-06
180,277,Ensalada,Comida,3,13.76,Valencia,2026-06-26
181,363,Ensalada,Comida,3,5.14,Valencia,2026-06-29
182,208,Agua,Bebida,6,14.25,Valencia,2026-05-21
183,135,Pizza,Comida,4,4.18,Bilbao,2026-03-23
184,220,Patatas,Comida,4,13.39,Madrid,2026-04-08
185,424,Cafe,Bebida,3,10.69,Sevilla,2026-01-15
186,120,Cafe,Bebida,3,12.09,Valencia,2026-01-16
187,58,Refresco,Bebida,1,9.66,Valencia,2026-04-15
188,249,Cafe,Bebida,1,11.92,Sevilla,2026-04-20
189,148,Cafe,Bebida,1,11.36,Sevilla,2026-03-17
190,339,Agua,Bebida,6,14.39,Bilbao,2026-05-19
191,208,Agua,Bebida,6,9.96,Madrid,2026-05-09
192,220,Patatas,Comida,6,6.52,Bilbao,2026-02-16
193,481,Pizza,Comida,1,5.97,Sevilla,2026-03-05
194,20,Pizza,Comida,5,10.64,Bilbao,2026-05-20
195,213,Ensalada,Comida,2,9.82,Bilbao,2026-03-29
196,53,Patatas,Comida,4,9.7,Sevilla,2026-01-05
197,95,Refresco,Bebida,4,12.45,Madrid,2026-01-24
198,165,Patatas,Comida,1,2.93,Madrid,2026-03-26
199,41,Ensalada,Comida,1,9.98,Sevilla,2026-01-04
200,106,Pizza,Comida,2,4.72,Bilbao,2026-03-03
201,164,Refresco,Bebida,1,3.74,Sevilla,2026-03-27
202,79,Patatas,Comida,5,1.29,Madrid,2026-06-01
203,294,Cafe,Bebida,6,7.89,Bilbao,2026-03-09
204,108,Refresco,Bebida,4,7.63,Sevilla,2026-03-03
205,367,Pizza,Comida,3,11.68,Bilbao,2026-06-21
206,426,Ensalada,Comida,5,10.99,Sevilla,2026-05-07
207,339,Agua,Bebida,4,7.2,Madrid,2026-01-05
208,307,Cafe,Bebida,4,10.41,Valencia,2026-01-17
209,225,Pizza,Comida,2,4.39,Valencia,2026-04-19
210,135,Cafe,Bebida,5,8.91,Sevilla,2026-02-27
211,256,Agua,Bebida,4,7.23,Madrid,2026-03-04
212,27,Hamburguesa,Comida,2,3.9,Madrid,2026-06-15
213,203,Patatas,Comida,5,12.58,Valencia,2026-01-28
214,287,Cafe,Bebida,6,5.74,Madrid,2026-01-10
215,444,Patatas,Comida,6,12.94,Valencia,2026-06-16
216,446,Cafe,Bebida,5,8.42,Bilbao,2026-05-19
217,354,Agua,Bebida,4,7.42,Madrid,2026-04-26
218,6,Cafe,Bebida,5,6.12,Valencia,2026-01-30
219,444,Patatas,Comida,4,7.73,Madrid,2026-05-02
220,148,Cafe,Bebida,1,14.84,Madrid,2026-01-25
221,460,Patatas,Comida,2,11.02,Sevilla,2026-02-08
222,352,Agua,Bebida,3,1.22,Bilbao,2026-02-17
223,31,Hamburguesa,Comida,3,5.07,Madrid,2026-01-03
224,451,Pizza,Comida,6,5.5,Sevilla,2026-06-06
225,375,Agua,Bebida,2,10.65,Valencia,2026-02-25
226,452,Hamburguesa,Comida,3,2.03,Bilbao,2026-02-26
227,310,Agua,Bebida,4,10.54,Madrid,2026-05-10
228,269,Agua,Bebida,2,7.07,Sevilla,2026-06-02
229,40,Pizza,Comida,4,2.29,Bilbao,2026-05-17
230,62,Refresco,Bebida,4,10.25,Valencia,2026-01-03
231,39,Pizza,Comida,1,7.54,Sevilla,2026-04-09
232,451,Pizza,Comida,4,6.28,Bilbao,2026-05-16
233,435,Cafe,Bebida,5,8.34,Madrid,2026-05-06
234,10,Pizza,Comida,2,7.97,Sevilla,2026-01-05
235,60,Cafe,Bebida,6,4.97,Madrid,2026-02-06
236,68,Hamburguesa,Comida,5,7.16,Valencia,2026-02-05
237,238,Pizza,Comida,1,3.64,Madrid,2026-04-16
238,357,Hamburguesa,Comida,4,6.15,Valencia,2026-05-28
239,357,Patatas,Comida,2,7.25,Valencia,2026-02-03
240,343,Ensalada,Comida,1,7.86,Madrid,2026-01-27
241,72,Cafe,Bebida,6,9.49,Madrid,2026-03-10
242,322,Pizza,Comida,5,1.45,Madrid,2026-03-28
243,222,Patatas,Comida,3,4.15,Bilbao,2026-05-19
244,255,Agua,Bebida,1,13.64,Sevilla,2026-02-14
245,413,Hamburguesa,Comida,6,7.5,Madrid,2026-03-23
246,315,Ensalada,Comida,6,7.92,Valencia,2026-05-23
247,299,Pizza,Comida,5,9.56,Bilbao,2026-03-01
248,442,Pizza,Comida,5,14.5,Bilbao,2026-03-21
249,345,Patatas,Comida,5,7.27,Bilbao,2026-01-23
250,9,Patatas,Comida,1,14.46,Sevilla,2026-04-09
251,20,Hamburguesa,Comida,2,3.86,Madrid,2026-05-08
252,293,Cafe,Bebida,6,6.65,Bilbao,2026-03-18
253,243,Agua,Bebida,6,2.55,Madrid,2026-04-24
254,220,Agua,Bebida,5,7.88,Sevilla,2026-01-01
255,293,Patatas,Comida,6,14.4,Bilbao,2026-01-18
256,34,Refresco,Bebida,4,8.34,Madrid,2026-05-31
257,445,Pizza,Comida,6,13.99,Valencia,2026-06-29
258,430,Pizza,Comida,2,2.21,Sevilla,2026-02-02
259,153,Ensalada,Comida,1,4.68,Valencia,2026-01-07
260,230,Ensalada,Comida,1,5.82,Valencia,2026-04-16
261,226,Ensalada,Comida,3,4.79,Valencia,2026-04-23
262,325,Pizza,Comida,4,5.23,Madrid,2026-01-29
263,219,Pizza,Comida,2,2.82,Madrid,2026-03-11
264,281,Ensalada,Comida,5,10.07,Madrid,2026-05-07
265,122,Pizza,Comida,6,8.38,Bilbao,2026-03-03
266,191,Pizza,Comida,3,3.97,Madrid,2026-05-22
267,490,Patatas,Comida,5,6.96,Madrid,2026-05-05
268,405,Pizza,Comida,4,7.04,Sevilla,2026-03-12
269,111,Agua,Bebida,5,12.32,Bilbao,2026-03-02
270,203,Agua,Bebida,2,14.84,Bilbao,2026-02-06
271,484,Patatas,Comida,4,6.53,Sevilla,2026-06-10
272,89,Patatas,Comida,3,10.04,Bilbao,2026-05-09
273,246,Refresco,Bebida,6,5.96,Madrid,2026-01-20
274,105,Refresco,Bebida,1,2.35,Valencia,2026-02-19
275,345,Pizza,Comida,6,2.84,Sevilla,2026-03-28
276,39,Refresco,Bebida,5,2.17,Valencia,2026-04-22
277,116,Pizza,Comida,6,13.79,Bilbao,2026-04-15
278,246,Agua,Bebida,4,12.03,Valencia,2026-06-10
279,500,Refresco,Bebida,6,10.92,Sevilla,2026-06-30
280,379,Ensalada,Comida,5,1.75,Madrid,2026-05-06
281,42,Pizza,Comida,6,6.32,Bilbao,2026-03-09
282,33,Hamburguesa,Comida,1,10.95,Valencia,2026-01-04
283,96,Cafe,Bebida,4,5.72,Sevilla,2026-05-15
284,415,Agua,Bebida,4,3.84,Sevilla,2026-03-22
285,272,Cafe,Bebida,2,8.06,Madrid,2026-03-30
286,301,Refresco,Bebida,1,8.99,Madrid,2026-04-16
287,142,Cafe,Bebida,6,9.37,Valencia,2026-05-31
288,97,Hamburguesa,Comida,4,8.1,Bilbao,2026-02-11
289,121,Patatas,Comida,4,12.04,Sevilla,2026-06-21
290,456,Refresco,Bebida,1,5.41,Bilbao,2026-04-27
291,471,Refresco,Bebida,3,4.64,Bilbao,2026-04-21
292,220,Pizza,Comida,6,6.51,Bilbao,2026-02-19
293,268,Refresco,Bebida,4,5.52,Bilbao,2026-05-29
294,288,Pizza,Comida,2,2.61,Bilbao,2026-04-14
295,129,Refresco,Bebida,4,11.48,Bilbao,2026-05-24
296,376,Refresco,Bebida,4,12.62,Madrid,2026-02-14
297,94,Refresco,Bebida,6,11.99,Bilbao,2026-01-18
298,390,Pizza,Comida,6,5.09,Sevilla,2026-02-04
299,352,Hamburguesa,Comida,3,8.7,Sevilla,2026-01-03
300,183,Cafe,Bebida,1,7.76,Bilbao,2026-02-20
301,358,Hamburguesa,Comida,2,5.71,Valencia,2026-03-21
302,336,Pizza,Comida,2,10.08,Valencia,2026-02-03
303,281,Refresco,Bebida,1,1.51,Valencia,2026-01-03
304,213,Cafe,Bebida,4,5.96,Madrid,2026-03-07
305,158,Hamburguesa,Comida,4,9.18,Valencia,2026-01-01
306,256,Refresco,Bebida,4,4.93,Bilbao,2026-05-14
307,43,Ensalada,Comida,3,5.8,Madrid,2026-05-28
308,217,Patatas,Comida,6,10.96,Bilbao,2026-01-05
309,386,Ensalada,Comida,3,11.2,Bilbao,2026-04-09
310,61,Pizza,Comida,2,9.34,Valencia,2026-04-16
311,475,Cafe,Bebida,5,12.74,Madrid,2026-05-14
312,267,Patatas,Comida,5,11.56,Bilbao,2026-02-18
313,50,Pizza,Comida,2,9.54,Bilbao,2026-06-23
314,245,Refresco,Bebida,3,8.95,Sevilla,2026-04-29
315,362,Hamburguesa,Comida,5,12.9,Madrid,2026-03-30
316,327,Ensalada,Comida,3,4.33,Madrid,2026-06-17
317,480,Patatas,Comida,6,4.69,Madrid,2026-03-07
318,415,Patatas,Comida,1,13.25,Bilbao,2026-02-10
319,16,Pizza,Comida,3,4.39,Bilbao,2026-04-09
320,57,Hamburguesa,Comida,6,9.25,Madrid,2026-04-19
321,2,Hamburguesa,Comida,1,5.43,Madrid,2026-05-02
322,30,Cafe,Bebida,4,3.68,Madrid,2026-01-21
323,185,Pizza,Comida,2,11.42,Madrid,2026-02-13
324,134,Patatas,Comida,1,5.02,Valencia,2026-02-19
325,436,Cafe,Bebida,2,7.95,Valencia,2026-05-02
326,319,Cafe,Bebida,3,2.29,Bilbao,2026-01-18
327,334,Refresco,Bebida,3,2.71,Sevilla,2026-04-01
328,335,Refresco,Bebida,2,7.6,Valencia,2026-03-28
329,184,Pizza,Comida,2,4.77,Bilbao,2026-04-30
330,239,Refresco,Bebida,4,4.64,Bilbao,2026-04-12
331,173,Refresco,Bebida,3,14.61,Bilbao,2026-05-22
332,90,Cafe,Bebida,6,11.6,Valencia,2026-05-08
333,271,Cafe,Bebida,2,7.81,Bilbao,2026-04-24
334,490,Cafe,Bebida,2,6.08,Valencia,2026-03-05
335,382,Agua,Bebida,2,4.17,Madrid,2026-01-18
336,262,Cafe,Bebida,4,3.36,Bilbao,2026-02-07
337,81,Hamburguesa,Comida,4,2.34,Valencia,2026-05-04
338,353,Ensalada,Comida,4,5.93,Sevilla,2026-01-08
339,114,Refresco,Bebida,2,13.3,Sevilla,2026-01-05
340,162,Pizza,Comida,3,14.58,Valencia,2026-02-27
341,14,Hamburguesa,Comida,1,5.9,Bilbao,2026-04-29
342,293,Cafe,Bebida,6,10.02,Sevilla,2026-02-17
343,88,Hamburguesa,Comida,2,5.46,Bilbao,2026-03-15
344,17,Ensalada,Comida,2,11.14,Madrid,2026-01-31
345,386,Agua,Bebida,1,2.57,Madrid,2026-06-27
346,351,Agua,Bebida,6,9.2,Madrid,2026-04-30
347,227,Ensalada,Comida,4,7.47,Sevilla,2026-04-02
348,183,Ensalada,Comida,4,4.85,Madrid,2026-01-14
349,461,Hamburguesa,Comida,1,10.35,Madrid,2026-03-06
350,404,Hamburguesa,Comida,6,4.42,Sevilla,2026-05-19
351,463,Patatas,Comida,6,14.6,Madrid,2026-06-04
352,459,Refresco,Bebida,4,8.99,Valencia,2026-06-18
353,329,Pizza,Comida,1,10.53,Sevilla,2026-05-23
354,477,Patatas,Comida,3,2.28,Valencia,2026-01-13
355,203,Ensalada,Comida,1,11.3,Sevilla,2026-04-01
356,253,Ensalada,Comida,1,5.28,Madrid,2026-05-18
357,245,Hamburguesa,Comida,1,12.44,Sevilla,2026-05-28
358,123,Refresco,Bebida,6,10.47,Bilbao,2026-05-09
359,134,Pizza,Comida,3,8.89,Bilbao,2026-06-15
360,371,Hamburguesa,Comida,6,4.24,Madrid,2026-06-08
361,291,Ensalada,Comida,4,2.97,Sevilla,2026-02-10
362,349,Ensalada,Comida,2,7.62,Valencia,2026-05-23
363,3,Ensalada,Comida,1,14.7,Valencia,2026-05-10
364,176,Hamburguesa,Comida,1,7.95,Bilbao,2026-02-27
365,133,Agua,Bebida,6,3.0,Valencia,2026-03-12
366,152,Refresco,Bebida,5,3.89,Sevilla,2026-03-25
367,459,Hamburguesa,Comida,2,10.61,Madrid,2026-02-02
368,119,Refresco,Bebida,1,12.37,Sevilla,2026-04-15
369,87,Cafe,Bebida,3,7.6,Sevilla,2026-03-16
370,300,Pizza,Comida,1,14.11,Bilbao,2026-01-22
371,442,Hamburguesa,Comida,2,14.39,Madrid,2026-01-28
372,493,Ensalada,Comida,3,2.94,Sevilla,2026-01-09
373,349,Cafe,Bebida,1,14.4,Madrid,2026-01-05
374,242,Patatas,Comida,2,3.64,Madrid,2026-03-14
375,294,Patatas,Comida,4,13.38,Sevilla,2026-05-07
376,371,Refresco,Bebida,4,10.8,Sevilla,2026-01-29
377,131,Refresco,Bebida,4,13.31,Valencia,2026-06-17
378,77,Pizza,Comida,1,12.55,Valencia,2026-02-10
379,500,Agua,Bebida,6,8.75,Bilbao,2026-04-19
380,484,Cafe,Bebida,6,5.06,Bilbao,2026-02-02
381,17,Refresco,Bebida,5,3.96,Sevilla,2026-02-22
382,192,Cafe,Bebida,1,12.48,Valencia,2026-02-12
383,385,Ensalada,Comida,5,3.42,Madrid,2026-03-22
384,38,Pizza,Comida,2,11.93,Madrid,2026-03-24
385,183,Hamburguesa,Comida,5,13.71,Madrid,2026-03-12
386,185,Hamburguesa,Comida,5,6.84,Valencia,2026-06-07
387,131,Ensalada,Comida,5,12.71,Valencia,2026-05-18
388,345,Agua,Bebida,3,9.13,Sevilla,2026-04-25
389,326,Patatas,Comida,1,4.22,Bilbao,2026-02-13
390,222,Patatas,Comida,1,12.36,Sevilla,2026-02-03
391,169,Pizza,Comida,6,5.64,Valencia,2026-04-28
392,184,Pizza,Comida,3,7.76,Bilbao,2026-06-03
393,435,Cafe,Bebida,5,11.53,Valencia,2026-03-07
394,363,Ensalada,Comida,1,13.96,Bilbao,2026-01-09
395,213,Pizza,Comida,3,12.7,Sevilla,2026-03-14
396,231,Refresco,Bebida,1,6.28,Sevilla,2026-05-25
397,211,Hamburguesa,Comida,5,12.56,Madrid,2026-01-14
398,49,Patatas,Comida,6,9.39,Sevilla,2026-03-29
399,275,Hamburguesa,Comida,2,3.48,Bilbao,2026-01-06
400,405,Pizza,Comida,5,10.28,Valencia,2026-06-16
401,256,Pizza,Comida,5,11.91,Sevilla,2026-01-13
402,257,Hamburguesa,Comida,4,7.84,Sevilla,2026-02-08
403,210,Pizza,Comida,6,14.53,Sevilla,2026-03-08
404,230,Pizza,Comida,1,9.74,Bilbao,2026-03-30
405,307,Refresco,Bebida,2,6.14,Bilbao,2026-02-15
406,38,Agua,Bebida,6,1.05,Sevilla,2026-04-13
407,12,Hamburguesa,Comida,1,6.92,Sevilla,2026-02-06
408,218,Patatas,Comida,6,11.55,Madrid,2026-04-24
409,153,Agua,Bebida,4,5.86,Sevilla,2026-03-25
410,243,Hamburguesa,Comida,2,14.97,Bilbao,2026-05-25
411,153,Ensalada,Comida,5,2.37,Bilbao,2026-03-12
412,363,Patatas,Comida,1,9.3,Sevilla,2026-03-24
413,410,Refresco,Bebida,5,3.56,Sevilla,2026-02-25
414,28,Cafe,Bebida,3,4.66,Bilbao,2026-01-14
415,383,Patatas,Comida,5,9.38,Valencia,2026-03-18
416,143,Cafe,Bebida,3,3.64,Madrid,2026-04-05
417,484,Refresco,Bebida,5,8.02,Madrid,2026-03-31
418,226,Pizza,Comida,3,11.85,Sevilla,2026-02-05
419,262,Refresco,Bebida,3,11.79,Sevilla,2026-01-17
420,487,Hamburguesa,Comida,2,10.85,Bilbao,2026-06-12
421,342,Agua,Bebida,1,14.54,Valencia,2026-03-31
422,356,Pizza,Comida,1,14.17,Valencia,2026-05-19
423,436,Cafe,Bebida,2,9.71,Madrid,2026-01-29
424,345,Pizza,Comida,2,7.37,Madrid,2026-01-17
425,126,Ensalada,Comida,4,11.12,Madrid,2026-02-13
426,382,Pizza,Comida,3,5.77,Valencia,2026-06-26
427,458,Hamburguesa,Comida,3,4.57,Bilbao,2026-01-27
428,234,Ensalada,Comida,1,3.9,Sevilla,2026-04-14
429,103,Refresco,Bebida,6,9.9,Madrid,2026-04-14
430,301,Patatas,Comida,6,7.14,Bilbao,2026-05-12
