id_venta,id_cliente,producto,categoria,unidades,precio_unitario,ciudad,fecha,importe
88,324,Ensalada,Comida,4,8.95,Valencia,2026-03-05,35.8
89,269,Refresco,Bebida,5,9.28,Madrid,2026-01-12,46.4
90,295,Ensalada,Comida,2,9.84,Bilbao,2026-05-22,19.68
91,125,Hamburguesa,Comida,5,5.91,Madrid,2026-02-16,29.55
92,145,Ensalada,Comida,3,9.66,Madrid,2026-01-27,28.98
93,496,Ensalada,Comida,3,2.97,Madrid,2026-03-08,8.91
94,332,Cafe,Bebida,6,7.53,Sevilla,2026-04-08,45.18
95,379,Hamburguesa,Comida,4,3.42,Valencia,2026-05-25,13.68
96,460,Pizza,Comida,6,6.31,Sevilla,2026-01-28,37.86
97,378,Agua,Bebida,4,4.02,Valencia,2026-06-30,16.08
98,110,Agua,Bebida,4,9.18,Madrid,2026-03-01,36.72
99,479,Ensalada,Comida,5,12.56,Bilbao,2026-01-26,62.800000000000004
100,284,Hamburguesa,Comida,6,4.98,Sevilla,2026-06-10,29.880000000000003
101,437,Cafe,Bebida,4,11.96,Sevilla,2026-04-03,47.84
102,148,Refresco,Bebida,5,10.9,Bilbao,2026-01-24,54.5
103,309,Cafe,Bebida,4,13.82,Madrid,2026-01-28,55.28
104,15,Hamburguesa,Comida,5,13.41,Sevilla,2026-01-02,67.05
105,351,Agua,Bebida,1,3.48,Valencia,2026-03-10,3.48
106,314,Ensalada,Comida,3,10.05,Valencia,2026-06-08,30.150000000000002
107,388,Patatas,Comida,3,9.73,Sevilla,2026-02-27,29.19
108,29,Ensalada,Comida,1,4.99,Valencia,2026-01-14,4.99
109,412,Refresco,Bebida,3,14.26,Bilbao,2026-06-01,42.78
110,432,Agua,Bebida,5,13.5,Valencia,2026-01-22,67.5
111,10,Pizza,Comida,1,14.34,Sevilla,2026-06-29,14.34
112,108,Ensalada,Comida,6,12.42,Madrid,2026-04-27,74.52
113,419,Patatas,Comida,6,10.58,Madrid,2026-03-16,63.480000000000004
114,367,Refresco,Bebida,5,3.38,Sevilla,2026-04-13,16.9
115,58,Cafe,Bebida,5,10.16,Valencia,2026-04-13,50.8
116,55,Agua,Bebida,4,6.58,Valencia,2026-02-09,26.32
117,282,Pizza,Comida,1,9.26,Bilbao,2026-01-17,9.26
118,130,Refresco,Bebida,6,14.45,Sevilla,2026-05-30,86.69999999999999
119,436,Pizza,Comida,6,10.32,Bilbao,2026-04-17,61.92
120,495,Agua,Bebida,1,8.29,Valencia,2026-06-15,8.29
121,101,Refresco,Bebida,5,3.33,Madrid,2026-02-22,16.65
122,29,Hamburguesa,Comida,2,2.35,Valencia,2026-01-30,4.7
123,161,Hamburguesa,Comida,1,2.12,Bilbao,2026-04-22,2.12
124,42,Pizza,Comida,2,7.12,Sevilla,2026-01-17,14.24
125,218,Hamburguesa,Comida,5,5.42,Valencia,2026-05-29,27.1
126,262,Agua,Bebida,5,13.13,Bilbao,2026-02-26,65.65
127,398,Pizza,Comida,2,9.27,Madrid,2026-01-20,18.54
128,10,Hamburguesa,Comida,5,5.63,Bilbao,2026-05-20,28.15
129,168,Hamburguesa,Comida,6,3.64,Sevilla,2026-05-21,21.84
130,48,Ensalada,Comida,4,9.76,Valencia,2026-02-05,39.04
131,155,Refresco,Bebida,1,7.48,Bilbao,2026-06-11,7.48
132,406,Ensalada,Comida,5,11.64,Valencia,2026-05-13,58.2
133,265,Refresco,Bebida,5,13.94,Madrid,2026-01-28,69.7
134,493,Pizza,Comida,4,2.8,Sevilla,2026-02-08,11.2
135,400,Agua,Bebida,6,1.69,Madrid,2026-02-14,10.14
136,277,Refresco,Bebida,3,8.77,Madrid,2026-01-09,26.31
137,102,Pizza,Comida,2,10.05,Valencia,2026-02-26,20.1
138,400,Patatas,Comida,3,2.59,Sevilla,2026-04-17,7.77
139,234,Agua,Bebida,6,11.98,Sevilla,2026-06-09,71.88
140,357,Cafe,Bebida,4,1.21,Valencia,2026-05-01,4.84
141,297,Hamburguesa,Comida,6,2.18,Sevilla,2026-04-23,13.080000000000002
142,291,Cafe,Bebida,1,9.47,Bilbao,2026-04-10,9.47
143,448,Pizza,Comida,1,8.49,Valencia,2026-06-23,8.49
144,396,Cafe,Bebida,5,5.42,Sevilla,2026-06-20,27.1
145,201,Refresco,Bebida,6,13.16,Sevilla,2026-06-06,78.96000000000001
146,133,Patatas,Comida,5,8.2,Madrid,2026-06-11,41.0
147,403,Refresco,Bebida,4,7.6,Sevilla,2026-01-14,30.4
148,230,Agua,Bebida,6,8.12,Valencia,2026-03-12,48.72
149,40,Pizza,Comida,3,1.9,Madrid,2026-02-11,5.699999999999999
150,104,Pizza,Comida,4,5.09,Bilbao,2026-04-20,20.36
151,383,Cafe,Bebida,3,6.53,Sevilla,2026-05-02,19.59
152,326,Patatas,Comida,2,12.03,Valencia,2026-05-23,24.06
153,16,Patatas,Comida,4,1.1,Bilbao,2026-03-15,4.4
154,171,Ensalada,Comida,5,8.01,Sevilla,2026-04-20,40.05
155,326,Hamburguesa,Comida,4,6.66,Valencia,2026-03-02,26.64
156,215,Hamburguesa,Comida,1,11.84,Madrid,2026-06-06,11.84
157,42,Refresco,Bebida,1,1.44,Valencia,2026-01-09,1.44
158,494,Ensalada,Comida,3,10.99,Valencia,2026-02-16,32.97
159,268,Ensalada,Comida,4,12.01,Madrid,2026-03-28,48.04
160,418,Agua,Bebida,1,1.85,Valencia,2026-05-19,1.85
161,183,Ensalada,Comida,5,13.23,Madrid,2026-05-07,66.15
162,158,Patatas,Comida,6,10.23,Sevilla,2026-04-22,61.38
163,143,Patatas,Comida,5,9.89,Madrid,2026-06-11,49.45
164,349,Refresco,Bebida,2,9.57,Sevilla,2026-05-18,19.14
165,236,Hamburguesa,Comida,2,13.47,Bilbao,2026-05-22,26.94
166,416,Agua,Bebida,4,7.18,Valencia,2026-04-09,28.72
167,415,Pizza,Comida,6,7.85,Valencia,2026-01-20,47.099999999999994
168,355,Cafe,Bebida,2,7.59,Sevilla,2026-02-07,15.18
169,385,Refresco,Bebida,2,2.71,Sevilla,2026-06-03,5.42
170,129,Agua,Bebida,5,11.83,Sevilla,2026-01-07,59.15
171,432,Patatas,Comida,4,7.65,Madrid,2026-02-22,30.6
172,324,Pizza,Comida,3,9.27,Sevilla,2026-05-06,27.81
173,79,Agua,Bebida,2,13.51,Bilbao,2026-01-17,27.02
174,131,Ensalada,Comida,1,8.08,Sevilla,2026-01-13,8.08
175,392,Patatas,Comida,5,3.56,Sevilla,2026-01-23,17.8
176,85,Cafe,Bebida,4,8.42,Valencia,2026-06-11,33.68
177,180,Patatas,Comida,6,5.64,Madrid,2026-04-22,33.839999999999996
178,159,Hamburguesa,Comida,1,10.21,Sevilla,2026-04-06,10.21
179,412,Ensalada,Comida,6,2.44,Valencia,2026-03-06,14.64
180,277,Ensalada,Comida,3,13.76,Valencia,2026-06-26,41.28
181,363,Ensalada,Comida,3,5.14,Valencia,2026-06-29,15.419999999999998
182,208,Agua,Bebida,6,14.25,Valencia,2026-05-21,85.5
183,135,Pizza,Comida,4,4.18,Bilbao,2026-03-23,16.72
184,220,Patatas,Comida,4,13.39,Madrid,2026-04-08,53.56
185,424,Cafe,Bebida,3,10.69,Sevilla,2026-01-15,32.07
186,120,Cafe,Bebida,3,12.09,Valencia,2026-01-16,36.269999999999996
187,58,Refresco,Bebida,1,9.66,Valencia,2026-04-15,9.66
188,249,Cafe,Bebida,1,11.92,Sevilla,2026-04-20,11.92
189,148,Cafe,Bebida,1,11.36,Sevilla,2026-03-17,11.36
190,339,Agua,Bebida,6,14.39,Bilbao,2026-05-19,86.34
191,208,Agua,Bebida,6,9.96,Madrid,2026-05-09,59.760000000000005
192,220,Patatas,Comida,6,6.52,Bilbao,2026-02-16,39.12
193,481,Pizza,Comida,1,5.97,Sevilla,2026-03-05,5.97
194,20,Pizza,Comida,5,10.64,Bilbao,2026-05-20,53.2
195,213,Ensalada,Comida,2,9.82,Bilbao,2026-03-29,19.64
196,53,Patatas,Comida,4,9.7,Sevilla,2026-01-05,38.8
197,95,Refresco,Bebida,4,12.45,Madrid,2026-01-24,49.8
198,165,Patatas,Comida,1,2.93,Madrid,2026-03-26,2.93
199,41,Ensalada,Comida,1,9.98,Sevilla,2026-01-04,9.98
200,106,Pizza,Comida,2,4.72,Bilbao,2026-03-03,9.44
201,164,Refresco,Bebida,1,3.74,Sevilla,2026-03-27,3.74
202,79,Patatas,Comida,5,1.29,Madrid,2026-06-01,6.45
203,294,Cafe,Bebida,6,7.89,Bilbao,2026-03-09,47.339999999999996
204,108,Refresco,Bebida,4,7.63,Sevilla,2026-03-03,30.52
205,367,Pizza,Comida,3,11.68,Bilbao,2026-06-21,35.04
206,426,Ensalada,Comida,5,10.99,Sevilla,2026-05-07,54.95
207,339,Agua,Bebida,4,7.2,Madrid,2026-01-05,28.8
208,307,Cafe,Bebida,4,10.41,Valencia,2026-01-17,41.64
209,225,Pizza,Comida,2,4.39,Valencia,2026-04-19,8.78
210,135,Cafe,Bebida,5,8.91,Sevilla,2026-02-27,44.55
211,256,Agua,Bebida,4,7.23,Madrid,2026-03-04,28.92
212,27,Hamburguesa,Comida,2,3.9,Madrid,2026-06-15,7.8
213,203,Patatas,Comida,5,12.58,Valencia,2026-01-28,62.9
214,287,Cafe,Bebida,6,5.74,Madrid,2026-01-10,34.44
215,444,Patatas,Comida,6,12.94,Valencia,2026-06-16,77.64
216,446,Cafe,Bebida,5,8.42,Bilbao,2026-05-19,42.1
217,354,Agua,Bebida,4,7.42,Madrid,2026-04-26,29.68
218,6,Cafe,Bebida,5,6.12,Valencia,2026-01-30,30.6
219,444,Patatas,Comida,4,7.73,Madrid,2026-05-02,30.92
220,148,Cafe,Bebida,1,14.84,Madrid,2026-01-25,14.84
221,460,Patatas,Comida,2,11.02,Sevilla,2026-02-08,22.04
222,352,Agua,Bebida,3,1.22,Bilbao,2026-02-17,3.66
223,31,Hamburguesa,Comida,3,5.07,Madrid,2026-01-03,15.21
224,451,Pizza,Comida,6,5.5,Sevilla,2026-06-06,33.0
225,375,Agua,Bebida,2,10.65,Valencia,2026-02-25,21.3
226,452,Hamburguesa,Comida,3,2.03,Bilbao,2026-02-26,6.09
227,310,Agua,Bebida,4,10.54,Madrid,2026-05-10,42.16
228,269,Agua,Bebida,2,7.07,Sevilla,2026-06-02,14.14
229,40,Pizza,Comida,4,2.29,Bilbao,2026-05-17,9.16
230,62,Refresco,Bebida,4,10.25,Valencia,2026-01-03,41.0
231,39,Pizza,Comida,1,7.54,Sevilla,2026-04-09,7.54
232,451,Pizza,Comida,4,6.28,Bilbao,2026-05-16,25.12
233,435,Cafe,Bebida,5,8.34,Madrid,2026-05-06,41.7
234,10,Pizza,Comida,2,7.97,Sevilla,2026-01-05,15.94
235,60,Cafe,Bebida,6,4.97,Madrid,2026-02-06,29.82
236,68,Hamburguesa,Comida,5,7.16,Valencia,2026-02-05,35.8
237,238,Pizza,Comida,1,3.64,Madrid,2026-04-16,3.64
238,357,Hamburguesa,Comida,4,6.15,Valencia,2026-05-28,24.6
239,357,Patatas,Comida,2,7.25,Valencia,2026-02-03,14.5
240,343,Ensalada,Comida,1,7.86,Madrid,2026-01-27,7.86
241,72,Cafe,Bebida,6,9.49,Madrid,2026-03-10,56.94
242,322,Pizza,Comida,5,1.45,Madrid,2026-03-28,7.25
243,222,Patatas,Comida,3,4.15,Bilbao,2026-05-19,12.450000000000001
244,255,Agua,Bebida,1,13.64,Sevilla,2026-02-14,13.64
245,413,Hamburguesa,Comida,6,7.5,Madrid,2026-03-23,45.0
246,315,Ensalada,Comida,6,7.92,Valencia,2026-05-23,47.519999999999996
247,299,Pizza,Comida,5,9.56,Bilbao,2026-03-01,47.800000000000004
248,442,Pizza,Comida,5,14.5,Bilbao,2026-03-21,72.5
249,345,Patatas,Comida,5,7.27,Bilbao,2026-01-23,36.349999999999994
250,9,Patatas,Comida,1,14.46,Sevilla,2026-04-09,14.46
251,20,Hamburguesa,Comida,2,3.86,Madrid,2026-05-08,7.72
252,293,Cafe,Bebida,6,6.65,Bilbao,2026-03-18,39.900000000000006
253,243,Agua,Bebida,6,2.55,Madrid,2026-04-24,15.299999999999999
254,220,Agua,Bebida,5,7.88,Sevilla,2026-01-01,39.4
255,293,Patatas,Comida,6,14.4,Bilbao,2026-01-18,86.4
256,34,Refresco,Bebida,4,8.34,Madrid,2026-05-31,33.36
257,445,Pizza,Comida,6,13.99,Valencia,2026-06-29,83.94
258,430,Pizza,Comida,2,2.21,Sevilla,2026-02-02,4.42
259,153,Ensalada,Comida,1,4.68,Valencia,2026-01-07,4.68
260,230,Ensalada,Comida,1,5.82,Valencia,2026-04-16,5.82
261,226,Ensalada,Comida,3,4.79,Valencia,2026-04-23,14.370000000000001
262,325,Pizza,Comida,4,5.23,Madrid,2026-01-29,20.92
263,219,Pizza,Comida,2,2.82,Madrid,2026-03-11,5.64
264,281,Ensalada,Comida,5,10.07,Madrid,2026-05-07,50.35
265,122,Pizza,Comida,6,8.38,Bilbao,2026-03-03,50.28
266,191,Pizza,Comida,3,3.97,Madrid,2026-05-22,11.91
267,490,Patatas,Comida,5,6.96,Madrid,2026-05-05,34.8
268,405,Pizza,Comida,4,7.04,Sevilla,2026-03-12,28.16
269,111,Agua,Bebida,5,12.32,Bilbao,2026-03-02,61.6
270,203,Agua,Bebida,2,14.84,Bilbao,2026-02-06,29.68
271,484,Patatas,Comida,4,6.53,Sevilla,2026-06-10,26.12
272,89,Patatas,Comida,3,10.04,Bilbao,2026-05-09,30.119999999999997
273,246,Refresco,Bebida,6,5.96,Madrid,2026-01-20,35.76
274,105,Refresco,Bebida,1,2.35,Valencia,2026-02-19,2.35
275,345,Pizza,Comida,6,2.84,Sevilla,2026-03-28,17.04
276,39,Refresco,Bebida,5,2.17,Valencia,2026-04-22,10.85
277,116,Pizza,Comida,6,13.79,Bilbao,2026-04-15,82.74
278,246,Agua,Bebida,4,12.03,Valencia,2026-06-10,48.12
279,500,Refresco,Bebida,6,10.92,Sevilla,2026-06-30,65.52
280,379,Ensalada,Comida,5,1.75,Madrid,2026-05-06,8.75
281,42,Pizza,Comida,6,6.32,Bilbao,2026-03-09,37.92
282,33,Hamburguesa,Comida,1,10.95,Valencia,2026-01-04,10.95
283,96,Cafe,Bebida,4,5.72,Sevilla,2026-05-15,22.88
284,415,Agua,Bebida,4,3.84,Sevilla,2026-03-22,15.36
285,272,Cafe,Bebida,2,8.06,Madrid,2026-03-30,16.12
286,301,Refresco,Bebida,1,8.99,Madrid,2026-04-16,8.99
287,142,Cafe,Bebida,6,9.37,Valencia,2026-05-31,56.22
288,97,Hamburguesa,Comida,4,8.1,Bilbao,2026-02-11,32.4
289,121,Patatas,Comida,4,12.04,Sevilla,2026-06-21,48.16
290,456,Refresco,Bebida,1,5.41,Bilbao,2026-04-27,5.41
291,471,Refresco,Bebida,3,4.64,Bilbao,2026-04-21,13.919999999999998
292,220,Pizza,Comida,6,6.51,Bilbao,2026-02-19,39.06
293,268,Refresco,Bebida,4,5.52,Bilbao,2026-05-29,22.08
294,288,Pizza,Comida,2,2.61,Bilbao,2026-04-14,5.22
295,129,Refresco,Bebida,4,11.48,Bilbao,2026-05-24,45.92
296,376,Refresco,Bebida,4,12.62,Madrid,2026-02-14,50.48
297,94,Refresco,Bebida,6,11.99,Bilbao,2026-01-18,71.94
298,390,Pizza,Comida,6,5.09,Sevilla,2026-02-04,30.54
299,352,Hamburguesa,Comida,3,8.7,Sevilla,2026-01-03,26.099999999999998
300,183,Cafe,Bebida,1,7.76,Bilbao,2026-02-20,7.76
301,358,Hamburguesa,Comida,2,5.71,Valencia,2026-03-21,11.42
302,336,Pizza,Comida,2,10.08,Valencia,2026-02-03,20.16
303,281,Refresco,Bebida,1,1.51,Valencia,2026-01-03,1.51
304,213,Cafe,Bebida,4,5.96,Madrid,2026-03-07,23.84
305,158,Hamburguesa,Comida,4,9.18,Valencia,2026-01-01,36.72
306,256,Refresco,Bebida,4,4.93,Bilbao,2026-05-14,19.72
307,43,Ensalada,Comida,3,5.8,Madrid,2026-05-28,17.4
308,217,Patatas,Comida,6,10.96,Bilbao,2026-01-05,65.76
309,386,Ensalada,Comida,3,11.2,Bilbao,2026-04-09,33.599999999999994
310,61,Pizza,Comida,2,9.34,Valencia,2026-04-16,18.68
311,475,Cafe,Bebida,5,12.74,Madrid,2026-05-14,63.7
312,267,Patatas,Comida,5,11.56,Bilbao,2026-02-18,57.800000000000004
313,50,Pizza,Comida,2,9.54,Bilbao,2026-06-23,19.08
314,245,Refresco,Bebida,3,8.95,Sevilla,2026-04-29,26.849999999999998
315,362,Hamburguesa,Comida,5,12.9,Madrid,2026-03-30,64.5
316,327,Ensalada,Comida,3,4.33,Madrid,2026-06-17,12.99
317,480,Patatas,Comida,6,4.69,Madrid,2026-03-07,28.14
318,415,Patatas,Comida,1,13.25,Bilbao,2026-02-10,13.25
319,16,Pizza,Comida,3,4.39,Bilbao,2026-04-09,13.169999999999998
320,57,Hamburguesa,Comida,6,9.25,Madrid,2026-04-19,55.5
321,2,Hamburguesa,Comida,1,5.43,Madrid,2026-05-02,5.43
322,30,Cafe,Bebida,4,3.68,Madrid,2026-01-21,14.72
323,185,Pizza,Comida,2,11.42,Madrid,2026-02-13,22.84
324,134,Patatas,Comida,1,5.02,Valencia,2026-02-19,5.02
325,436,Cafe,Bebida,2,7.95,Valencia,2026-05-02,15.9
326,319,Cafe,Bebida,3,2.29,Bilbao,2026-01-18,6.87
327,334,Refresco,Bebida,3,2.71,Sevilla,2026-04-01,8.129999999999999
328,335,Refresco,Bebida,2,7.6,Valencia,2026-03-28,15.2
329,184,Pizza,Comida,2,4.77,Bilbao,2026-04-30,9.54
330,239,Refresco,Bebida,4,4.64,Bilbao,2026-04-12,18.56
331,173,Refresco,Bebida,3,14.61,Bilbao,2026-05-22,43.83
332,90,Cafe,Bebida,6,11.6,Valencia,2026-05-08,69.6
333,271,Cafe,Bebida,2,7.81,Bilbao,2026-04-24,15.62
334,490,Cafe,Bebida,2,6.08,Valencia,2026-03-05,12.16
335,382,Agua,Bebida,2,4.17,Madrid,2026-01-18,8.34
336,262,Cafe,Bebida,4,3.36,Bilbao,2026-02-07,13.44
337,81,Hamburguesa,Comida,4,2.34,Valencia,2026-05-04,9.36
338,353,Ensalada,Comida,4,5.93,Sevilla,2026-01-08,23.72
339,114,Refresco,Bebida,2,13.3,Sevilla,2026-01-05,26.6
340,162,Pizza,Comida,3,14.58,Valencia,2026-02-27,43.74
341,14,Hamburguesa,Comida,1,5.9,Bilbao,2026-04-29,5.9
342,293,Cafe,Bebida,6,10.02,Sevilla,2026-02-17,60.12
343,88,Hamburguesa,Comida,2,5.46,Bilbao,2026-03-15,10.92
344,17,Ensalada,Comida,2,11.14,Madrid,2026-01-31,22.28
345,386,Agua,Bebida,1,2.57,Madrid,2026-06-27,2.57
346,351,Agua,Bebida,6,9.2,Madrid,2026-04-30,55.199999999999996
347,227,Ensalada,Comida,4,7.47,Sevilla,2026-04-02,29.88
348,183,Ensalada,Comida,4,4.85,Madrid,2026-01-14,19.4
349,461,Hamburguesa,Comida,1,10.35,Madrid,2026-03-06,10.35
350,404,Hamburguesa,Comida,6,4.42,Sevilla,2026-05-19,26.52
351,463,Patatas,Comida,6,14.6,Madrid,2026-06-04,87.6
352,459,Refresco,Bebida,4,8.99,Valencia,2026-06-18,35.96
353,329,Pizza,Comida,1,10.53,Sevilla,2026-05-23,10.53
354,477,Patatas,Comida,3,2.28,Valencia,2026-01-13,6.84
355,203,Ensalada,Comida,1,11.3,Sevilla,2026-04-01,11.3
356,253,Ensalada,Comida,1,5.28,Madrid,2026-05-18,5.28
357,245,Hamburguesa,Comida,1,12.44,Sevilla,2026-05-28,12.44
358,123,Refresco,Bebida,6,10.47,Bilbao,2026-05-09,62.82000000000001
359,134,Pizza,Comida,3,8.89,Bilbao,2026-06-15,26.67
360,371,Hamburguesa,Comida,6,4.24,Madrid,2026-06-08,25.44
361,291,Ensalada,Comida,4,2.97,Sevilla,2026-02-10,11.88
362,349,Ensalada,Comida,2,7.62,Valencia,2026-05-23,15.24
363,3,Ensalada,Comida,1,14.7,Valencia,2026-05-10,14.7
364,176,Hamburguesa,Comida,1,7.95,Bilbao,2026-02-27,7.95
365,133,Agua,Bebida,6,3.0,Valencia,2026-03-12,18.0
366,152,Refresco,Bebida,5,3.89,Sevilla,2026-03-25,19.45
367,459,Hamburguesa,Comida,2,10.61,Madrid,2026-02-02,21.22
368,119,Refresco,Bebida,1,12.37,Sevilla,2026-04-15,12.37
369,87,Cafe,Bebida,3,7.6,Sevilla,2026-03-16,22.799999999999997
370,300,Pizza,Comida,1,14.11,Bilbao,2026-01-22,14.11
371,442,Hamburguesa,Comida,2,14.39,Madrid,2026-01-28,28.78
372,493,Ensalada,Comida,3,2.94,Sevilla,2026-01-09,8.82
373,349,Cafe,Bebida,1,14.4,Madrid,2026-01-05,14.4
374,242,Patatas,Comida,2,3.64,Madrid,2026-03-14,7.28
375,294,Patatas,Comida,4,13.38,Sevilla,2026-05-07,53.52
376,371,Refresco,Bebida,4,10.8,Sevilla,2026-01-29,43.2
377,131,Refresco,Bebida,4,13.31,Valencia,2026-06-17,53.24
378,77,Pizza,Comida,1,12.55,Valencia,2026-02-10,12.55
